name	description	rank	annotation_method	automated_annotation_algorithm_name	automated_annotation_algorithm_version	automated_annotation_algorithm_repo_url	automated_annotation_reference_location
CrossArea_cluster		0					
CrossArea_subclass		1					
Class		2					
